records,due,variant,run,median_ns,p95_ns
1,0,ExistingSerial,0,100,100
1,0,CollectedSerial,0,100,100
1,0,Job,0,2600,4600
1,0,ExistingSerial,1,0,100
1,0,CollectedSerial,1,0,100
1,0,Job,1,2600,4200
1,0,ExistingSerial,2,100,100
1,0,CollectedSerial,2,100,100
1,0,Job,2,2600,3300
1,0,ExistingSerial,0,100,100
1,0,CollectedSerial,0,100,100
1,0,Job,0,2600,3200
1,0,ExistingSerial,1,0,100
1,0,CollectedSerial,1,0,100
1,0,Job,1,2700,5000
1,0,ExistingSerial,2,100,100
1,0,CollectedSerial,2,100,100
1,0,Job,2,2600,4100
1,1,ExistingSerial,0,100,200
1,1,CollectedSerial,0,200,200
1,1,Job,0,2700,3200
1,1,ExistingSerial,1,200,200
1,1,CollectedSerial,1,200,200
1,1,Job,1,2700,2900
1,1,ExistingSerial,2,100,200
1,1,CollectedSerial,2,100,200
1,1,Job,2,2700,2900
31,0,ExistingSerial,0,200,300
31,0,CollectedSerial,0,200,400
31,0,Job,0,3300,7100
31,0,ExistingSerial,1,200,300
31,0,CollectedSerial,1,200,300
31,0,Job,1,3200,3500
31,0,ExistingSerial,2,200,300
31,0,CollectedSerial,2,200,300
31,0,Job,2,3300,4000
31,3,ExistingSerial,0,900,1000
31,3,CollectedSerial,0,600,700
31,3,Job,0,3800,6700
31,3,ExistingSerial,1,900,1000
31,3,CollectedSerial,1,600,600
31,3,Job,1,3700,5900
31,3,ExistingSerial,2,1000,1100
31,3,CollectedSerial,2,600,700
31,3,Job,2,3700,6200
31,31,ExistingSerial,0,5400,5500
31,31,CollectedSerial,0,4200,4500
31,31,Job,0,7600,8300
31,31,ExistingSerial,1,5400,5600
31,31,CollectedSerial,1,4100,4300
31,31,Job,1,7600,11500
31,31,ExistingSerial,2,5500,5700
31,31,CollectedSerial,2,4100,4400
31,31,Job,2,7600,8800
32,0,ExistingSerial,0,200,300
32,0,CollectedSerial,0,200,200
32,0,Job,0,3300,4800
32,0,ExistingSerial,1,200,200
32,0,CollectedSerial,1,200,300
32,0,Job,1,3400,4800
32,0,ExistingSerial,2,200,200
32,0,CollectedSerial,2,200,300
32,0,Job,2,3400,5500
32,3,ExistingSerial,0,900,1000
32,3,CollectedSerial,0,600,700
32,3,Job,0,4000,5500
32,3,ExistingSerial,1,900,1100
32,3,CollectedSerial,1,600,700
32,3,Job,1,3600,4300
32,3,ExistingSerial,2,900,1000
32,3,CollectedSerial,2,600,600
32,3,Job,2,3700,4900
32,32,ExistingSerial,0,5800,6100
32,32,CollectedSerial,0,4200,4500
32,32,Job,0,7800,9700
32,32,ExistingSerial,1,5700,5800
32,32,CollectedSerial,1,4200,4500
32,32,Job,1,7800,9200
32,32,ExistingSerial,2,5700,5900
32,32,CollectedSerial,2,4300,4400
32,32,Job,2,7900,12100
33,0,ExistingSerial,0,200,300
33,0,CollectedSerial,0,200,300
33,0,Job,0,4500,7500
33,0,ExistingSerial,1,200,200
33,0,CollectedSerial,1,200,300
33,0,Job,1,4500,7200
33,0,ExistingSerial,2,200,300
33,0,CollectedSerial,2,200,300
33,0,Job,2,4500,6200
33,3,ExistingSerial,0,900,1000
33,3,CollectedSerial,0,600,600
33,3,Job,0,4900,7100
33,3,ExistingSerial,1,900,1000
33,3,CollectedSerial,1,600,600
33,3,Job,1,4800,5700
33,3,ExistingSerial,2,900,1000
33,3,CollectedSerial,2,600,700
33,3,Job,2,4900,7400
33,33,ExistingSerial,0,6000,6200
33,33,CollectedSerial,0,4400,4500
33,33,Job,0,9100,12000
33,33,ExistingSerial,1,6100,6300
33,33,CollectedSerial,1,4300,4500
33,33,Job,1,9200,14400
33,33,ExistingSerial,2,6000,6200
33,33,CollectedSerial,2,4400,4600
33,33,Job,2,9200,10700
63,0,ExistingSerial,0,300,400
63,0,CollectedSerial,0,400,400
63,0,Job,0,5000,8700
63,0,ExistingSerial,1,400,400
63,0,CollectedSerial,1,400,400
63,0,Job,1,5000,5500
63,0,ExistingSerial,2,400,500
63,0,CollectedSerial,2,400,500
63,0,Job,2,4900,7500
63,6,ExistingSerial,0,2600,3200
63,6,CollectedSerial,0,1100,1500
63,6,Job,0,5800,13200
63,6,ExistingSerial,1,2600,2700
63,6,CollectedSerial,1,1100,1300
63,6,Job,1,5800,7600
63,6,ExistingSerial,2,2600,2800
63,6,CollectedSerial,2,1100,1200
63,6,Job,2,5800,8000
63,63,ExistingSerial,0,17100,17800
63,63,CollectedSerial,0,10900,11400
63,63,Job,0,16500,23900
63,63,ExistingSerial,1,17200,17400
63,63,CollectedSerial,1,10800,11100
63,63,Job,1,16500,19600
63,63,ExistingSerial,2,17000,17300
63,63,CollectedSerial,2,11100,11900
63,63,Job,2,16900,22400
